h,gait,reward
20,20.993428306022466,6529.758912915246
20,19.72347139765763,7073.763844652218
20,21.295377076201383,6830.230418745873
20,23.04605971281605,6459.1576842195145
20,19.531693250553328,6762.768013075789
22,20.76584815293757,6563.839237718791
22,20.761686443573538,6374.610929459542
22,22.03553208881886,6931.983879690015
22,18.156095559615967,6418.629888281092
22,18.495147901476543,6206.832445439178
24,26.017557045411728,6826.621421530368
24,21.958136878832313,6523.7615414186475
24,22.662067691251018,6890.167524402961
24,19.080604353087704,6655.8467144194865
24,21.193481461139562,6729.993500049613
26,25.638976032662363,7404.6650160046365
26,27.111366910705364,7633.418175200761
26,25.99190166515724,7286.452780179236
26,25.36537344262646,7387.490232176251
26,26.493526947261913,7631.49779773906
28,28.14769331599908,7842.412463328424
28,28.034273656237993,7863.148898323217
28,27.976870343522354,7984.569778097513
28,27.93977926088214,7927.489463165477
28,27.704295601926514,7758.956787570981
30,27.659267175515836,7767.630421440916
30,27.091934175666946,7448.940845819925
30,26.858462399755233,7544.341772346781
30,27.889341031072693,7659.627417652641
30,28.22479961799676,7775.598122882025
32,24.924990914585653,7906.872008571247
32,25.277209228003418,7478.3969635259
32,24.172398031192767,7801.0598693676075
32,24.064552051103195,7608.49080751429
32,26.475030986873037,7306.464073618463
34,24.00595384771178,7028.761001750089
34,25.653251193052355,6734.818827295268
34,23.44984354524607,6580.397059813653
34,25.690501118139608,6736.704310614201
34,19.83235685427436,5904.972434159643
36,20.75836092337874,6589.262041694495
36,21.39282382866292,7184.468889434871
36,22.625683449215668,6938.075466057067
36,20.429902759898987,6577.5007144178435
36,20.110657036817493,7015.57232190761
38,18.632986118435294,4775.539536307517
38,20.724747977278934,6007.284193945203
38,16.715072574694354,5982.738690525923
38,17.613610848165354,5803.579419649723
38,17.45894043248282,5635.789006637397
40,16.020036070668922,5504.050856814539
40,18.606322160810066,6986.185901210531
40,18.8089422570304,5274.577812831839
40,17.61407910002379,5357.550390722764
40,19.280657149668375,5025.554084233833
